,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
36949,110110000,2023-12-05 09:00:06.192,3.468113,231.7787,803.8348,418.8995,686.0566,0.5211263,50.2173,1.418581
36950,110110000,2023-12-05 09:00:06.653,3.489671,231.5122,807.9015,423.2657,688.1504,0.5239075,51.16977,1.254673
36951,110110000,2023-12-05 09:00:07.144,3.489671,231.5122,807.9015,423.2657,688.1504,0.5239075,51.16977,1.254673
36952,110110000,2023-12-05 09:00:07.607,3.506409,231.7849,812.7328,418.5778,696.6544,0.515025,49.71038,1.597689
36953,110110000,2023-12-05 09:00:08.100,3.506409,231.7849,812.7328,418.5778,696.6544,0.515025,49.71038,1.597689
36954,110110000,2023-12-05 09:00:08.564,3.863247,231.5206,894.4214,448.7823,773.6823,0.5017571,48.71035,0.2126282
36955,110110000,2023-12-05 09:00:09.056,3.863247,231.5206,894.4214,448.7823,773.6823,0.5017571,48.71035,0.2126282
36956,110110000,2023-12-05 09:00:09.520,4.160999,231.6792,964.0168,481.0985,835.3877,0.4990561,49.44629,1.965061
36957,110110000,2023-12-05 09:00:10.012,4.160999,231.6792,964.0168,481.0985,835.3877,0.4990561,49.44629,1.965061
36958,110110000,2023-12-05 09:00:10.474,3.849231,231.5267,891.1995,455.7107,765.8749,0.5113453,51.14584,1.070693
36959,110110000,2023-12-05 09:00:10.966,3.849231,231.5267,891.1995,455.7107,765.8749,0.5113453,51.35155,2.422953
36960,110110000,2023-12-05 09:00:11.723,3.271886,231.5088,757.4705,405.1229,640.0289,0.5348366,51.35155,2.422953
36961,110110000,2023-12-05 09:00:12.529,3.245502,231.6215,751.7281,400.3615,636.2435,0.5325882,73.45182,1.433592
36973,110110000,2023-12-05 09:00:18.487,2.041296,231.8163,473.2055,297.3639,368.1008,0.6284032,48.82207,0.4117013
36974,110110000,2023-12-05 09:00:19.104,2.041296,231.8163,473.2055,297.3639,368.1008,0.6284032,48.82207,0.4117013
36975,110110000,2023-12-05 09:00:19.440,4.298131,231.5437,995.2052,491.6685,865.2719,0.4940373,46.66581,2.086233
36976,110110000,2023-12-05 09:00:20.101,4.298131,231.5437,995.2052,491.6685,865.2719,0.4940373,46.66581,2.086233
36977,110110000,2023-12-05 09:00:20.717,4.990541,231.4072,1154.847,571.0239,1003.794,0.4944586,50.26088,1.821568
36978,110110000,2023-12-05 09:00:21.508,3.717556,231.4968,860.6023,449.1612,734.0916,0.521915,50.17719,0.6438516
36979,110110000,2023-12-05 09:00:22.044,3.491849,231.6924,809.0349,432.049,684.011,0.5340301,50.59796,1.542894
36980,110110000,2023-12-05 09:00:22.817,3.491849,231.6924,809.0349,432.049,684.011,0.5340301,49.0103,1.436818
36981,110110000,2023-12-05 09:00:23.410,3.431904,231.7384,795.3041,427.5656,670.594,0.5376127,49.0103,1.436818
36982,110110000,2023-12-05 09:00:23.961,3.833625,231.6712,888.1405,469.3728,753.978,0.5284894,48.388,1.674411
36983,110110000,2023-12-05 09:00:24.493,3.833625,231.6712,888.1405,469.3728,753.978,0.5284894,48.388,1.674411
36984,110110000,2023-12-05 09:00:25.289,3.900723,231.4561,902.8464,469.0022,771.4717,0.5194706,46.53203,1.607257
36985,110110000,2023-12-05 09:00:25.696,4.367637,231.3982,1010.663,523.1199,864.7463,0.5176005,50.80405,1.227271
36986,110110000,2023-12-05 09:00:26.359,4.367637,231.3982,1010.663,523.1199,864.7463,0.5176005,50.80405,1.227271
36987,110110000,2023-12-05 09:00:26.977,3.258003,231.4717,754.1354,409.5747,633.2209,0.5431049,48.60669,0.4105102
36988,110110000,2023-12-05 09:00:27.400,4.502124,231.5549,1042.489,520.5804,903.2048,0.4993631,48.60669,0.4105102
36989,110110000,2023-12-05 09:00:28.222,4.502124,231.5549,1042.489,520.5804,903.2048,0.4993631,74.23889,1.99238
37001,110110000,2023-12-05 09:00:34.888,2.362217,231.8086,547.5822,324.4138,441.1371,0.5924476,47.57985,1.390843
