status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:10,0.7195083,226.9193,163.2703,105.8188,-124.3365,-0.6481205,12.5706,1.662163
100001,11/4/2023 17:10,0.7148142,226.8649,162.1662,103.2282,-125.0673,-0.6365582,13.10011,1.50855
100001,11/4/2023 17:10,0.728635,226.8906,165.3204,105.8077,-127.0258,-0.6400161,10.74132,0.6514681
100001,11/4/2023 17:10,0.7238276,227.0262,164.3279,106.4715,-125.1698,-0.6479209,13.69286,1.217626
100001,11/4/2023 17:10,0.723483,226.9654,164.2056,106.8825,-124.6579,-0.6509067,13.50523,1.813713
100001,11/4/2023 17:10,0.7155115,226.9519,162.3867,106.2888,-122.7686,-0.6545414,12.63957,1.271182
100001,11/4/2023 17:10,0.7233108,226.7537,164.0134,106.4305,-124.7915,-0.6489137,15.24465,1.456685
100001,11/4/2023 17:10,0.7258918,226.8551,164.6723,107.1038,-125.0829,-0.6504056,13.30728,1.85669
100001,11/4/2023 17:10,0.7067448,226.8539,160.3278,104.2295,-121.8245,-0.6501029,12.76412,1.536122
100001,11/4/2023 17:10,0.7243442,226.8105,164.2889,106.4604,-125.1279,-0.6480077,12.94181,1.06355
100001,11/4/2023 17:10,0.7243442,227.0285,164.4468,104.9602,-126.5943,-0.6382622,12.89465,0.3914932
100001,11/4/2023 17:10,1.036839,226.7868,235.1413,212.8894,-99.84743,-0.9053681,12.46298,0.4908478
100001,11/4/2023 17:10,1.027901,226.6313,232.9546,211.3704,-97.93048,-0.9073461,11.42665,1.321034
100001,11/4/2023 17:10,0.8290138,226.9762,188.1664,139.7955,-125.9516,-0.7429358,13.95667,1.042847
100001,11/4/2023 17:10,0.8267547,226.7527,187.4689,139.7113,-125.0014,-0.7452505,13.00291,1.040862
100001,11/4/2023 17:10,0.8362019,226.9437,189.7708,140.7296,-127.3111,-0.741577,13.90278,1.170216
100001,11/4/2023 17:10,0.8261513,226.9158,187.4668,140.8208,-123.7468,-0.7511776,12.20578,0.6115733
100001,11/4/2023 17:10,0.8311168,226.8525,188.5409,139.6353,-126.6872,-0.7406104,13.39824,1.110882
100001,11/4/2023 17:10,0.8240356,226.8996,186.9733,138.7395,-125.3411,-0.7420281,12.33552,1.502161
100001,11/4/2023 17:10,0.8171983,226.9659,185.4762,138.6681,-123.1769,-0.7476332,12.4395,0.8400103
100001,11/4/2023 17:10,0.8188749,226.9344,185.8309,138.8377,-123.5202,-0.7471182,14.05885,2.032143
100001,11/4/2023 17:10,0.8253963,227.1314,187.4734,140.1002,-124.5722,-0.747307,13.39876,1.008366
100001,11/4/2023 17:10,0.8306665,226.8011,188.3961,139.652,-126.4532,-0.741268,13.39876,1.008366
100001,11/4/2023 17:10,0.8291641,227.1978,188.3843,140.1791,-125.851,-0.7441123,14.03514,1.110095
100001,11/4/2023 17:10,0.8190272,227.0444,185.9555,138.0331,-124.6047,-0.7422908,13.96539,1.71485
100001,11/4/2023 17:11,0.8211557,227.1297,186.5088,137.9063,-125.5683,-0.7394091,12.50134,1.731922
100001,11/4/2023 17:11,0.830066,226.9556,188.3881,140.2605,-125.7659,-0.7445295,10.19636,0.6114347
100001,11/4/2023 17:11,0.8253963,227.1881,187.5202,138.4402,-126.4838,-0.7382679,13.99191,1.684921
100001,11/4/2023 17:11,0.8370961,227.1433,190.1408,141.1344,-127.415,-0.7422629,12.08066,0.5100887
100001,11/4/2023 17:11,0.8324658,227.0683,189.0266,139.2886,-127.7879,-0.7368729,13.79545,1.480558
100001,11/4/2023 17:11,0.8384355,226.9064,190.2464,142.0723,-126.5273,-0.7467804,10.96949,1.205953
100001,11/4/2023 17:11,0.8336632,226.9668,189.2139,141.8142,-125.2623,-0.7494913,12.07225,0.7371432
100001,11/4/2023 17:11,0.8185703,227.147,185.9358,138.7277,-123.8012,-0.7461056,12.6676,0.4100901
100001,11/4/2023 17:11,0.8226727,227.109,186.8364,139.0045,-124.8422,-0.7439907,10.90052,1.889656
100001,11/4/2023 17:11,0.8244894,227.1624,187.293,138.9479,-125.5872,-0.7418745,11.68686,0.7150443
100001,11/4/2023 17:11,0.8279603,226.9747,187.9261,139.441,-125.9857,-0.7419994,10.02762,0.57072
100001,11/4/2023 17:11,0.8263021,227.207,187.7416,139.8603,-125.2438,-0.7449617,13.31234,1.15806
100001,11/4/2023 17:11,0.825094,227.2178,187.4761,140.6189,-123.9903,-0.7500632,12.54812,1.283368
100001,11/4/2023 17:11,0.8321663,227.2242,189.0883,141.3151,-125.6362,-0.7473495,12.54812,1.283368
