status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:37,4.606668,230.9639,1063.974,554.9625,-907.7764,-0.5215939,84.53713,1.832358
110000,11/8/2023 14:37,4.559357,231.0673,1053.518,538.6807,-905.3859,-0.511316,84.50495,2.403483
110000,11/8/2023 14:37,4.49577,230.9576,1038.332,531.1526,-892.1943,-0.5115439,84.49017,2.244766
110000,11/8/2023 14:37,4.641963,231.2056,1073.248,547.8458,-922.8898,-0.5104561,85.44408,1.968111
110000,11/8/2023 14:37,4.471157,231.1679,1033.588,514.5272,-896.4181,-0.497807,84.43062,2.230901
110000,11/8/2023 14:37,4.552214,231.054,1051.807,540.7648,-902.1484,-0.5141292,85.21476,3.239628
110000,11/8/2023 14:37,4.594255,231.3547,1062.902,530.3812,-921.1175,-0.4989932,84.18343,1.512527
110000,11/8/2023 14:37,4.568891,230.9828,1055.335,542.709,-905.0962,-0.5142528,83.0388,2.37625
110000,11/8/2023 14:37,4.656899,231.2843,1077.068,542.3524,-930.5527,-0.5035454,84.53963,1.813422
110000,11/8/2023 14:37,4.527551,231.3084,1047.261,543.0356,-895.4703,-0.5185295,83.95183,1.42999
110000,11/8/2023 14:37,4.594092,231.3707,1062.938,536.1808,-917.7948,-0.5044329,84.90199,2.024866
110000,11/8/2023 14:37,4.513097,231.2791,1043.785,530.4781,-898.933,-0.5082254,84.56515,2.235648
110000,11/8/2023 14:37,4.319302,231.1816,998.5432,524.105,-849.9426,-0.5248697,83.60657,1.442877
110000,11/8/2023 14:37,4.579849,231.338,1059.493,526.9445,-919.1599,-0.4973553,85.35567,1.253639
110000,11/8/2023 14:37,4.693198,231.1567,1084.864,549.0917,-935.6436,-0.5061386,85.12544,2.405834
110000,11/8/2023 14:37,4.515169,231.0347,1043.161,536.1019,-894.8623,-0.5139208,84.35277,1.892928
110000,11/8/2023 14:37,4.518206,230.9945,1043.681,537.0978,-894.8718,-0.5146189,83.84494,2.322047
110000,11/8/2023 14:37,4.698429,231.0316,1085.485,565.751,-926.3932,-0.5211963,84.44282,2.236567
110000,11/8/2023 14:37,4.699968,230.9832,1085.614,554.9785,-933.0357,-0.5112118,84.82466,1.969552
110000,11/8/2023 14:37,4.732829,231.2291,1094.368,550.7769,-945.6666,-0.5032833,84.60571,1.774205
110000,11/8/2023 14:37,4.603988,231.0632,1063.812,542.0899,-915.333,-0.509573,84.4245,1.455833
110000,11/8/2023 14:37,4.624605,231.2936,1069.642,547.6258,-918.825,-0.5119712,83.90092,2.689798
110000,11/8/2023 14:37,4.601441,231.0878,1063.337,555.0148,-906.9974,-0.5219557,84.14314,1.912847
110000,11/8/2023 14:37,4.637636,231.3504,1072.919,554.3839,-918.5931,-0.5167063,84.92932,2.165889
110000,11/8/2023 14:37,4.648646,231.4242,1075.809,541.0132,-929.8766,-0.5028895,83.59401,2.32941
110000,11/8/2023 14:38,4.798264,231.2137,1109.424,560.7643,-957.2698,-0.5054553,84.75632,1.41735
110000,11/8/2023 14:38,4.788875,231.2856,1107.598,557.215,-957.2274,-0.5030842,84.83918,2.306143
110000,11/8/2023 14:38,4.567882,231.3012,1056.557,537.7338,-909.4802,-0.5089493,84.62579,0.9458468
110000,11/8/2023 14:38,4.730351,231.3725,1094.473,549.6244,-946.4589,-0.5021817,84.50504,2.09768
110000,11/8/2023 14:38,4.674031,230.908,1079.271,549.9328,-928.6547,-0.509541,84.33856,1.482702
110000,11/8/2023 14:38,4.673177,231.0493,1079.734,554.487,-926.4827,-0.5135403,84.16862,2.666171
110000,11/8/2023 14:38,4.6988,231.3231,1086.941,548.7541,-938.2479,-0.5048611,84.6778,2.090151
110000,11/8/2023 14:38,4.771267,230.9734,1102.036,562.8977,-947.4331,-0.5107798,84.17175,1.661082
110000,11/8/2023 14:38,4.663428,230.9353,1076.95,556.9977,-921.7244,-0.517199,85.08028,1.592133
110000,11/8/2023 14:38,4.728164,231.3622,1093.918,548.6047,-946.4089,-0.5015044,84.30347,2.371377
110000,11/8/2023 14:38,4.762374,230.8853,1099.562,571.368,-939.4549,-0.5196323,83.69487,2.52546
110000,11/8/2023 14:38,4.738594,231.4385,1096.693,562.3001,-941.5701,-0.5127233,84.33864,2.242507
110000,11/8/2023 14:38,4.828571,230.9534,1115.175,575.5907,-955.1495,-0.5161439,84.15912,2.115648
110000,11/8/2023 14:38,4.906265,231.0777,1133.728,591.014,-967.4927,-0.5213013,83.78976,2.418482
110000,11/8/2023 14:38,4.508011,231.0191,1041.437,528.973,-897.0941,-0.5079263,84.88647,1.213839
110000,11/8/2023 14:38,4.62439,231.2798,1069.528,550.8535,-916.7606,-0.5150437,84.25506,2.234131
110000,11/8/2023 14:38,4.624956,230.9591,1068.176,548.4977,-916.5966,-0.5134902,84.9016,2.420594
110000,11/8/2023 14:38,4.674004,231.155,1080.419,541.0375,-935.1918,-0.5007664,84.83739,1.601214
110000,11/8/2023 14:38,4.856405,231.3158,1123.363,565.0096,-970.932,-0.5029626,84.98941,2.432996
110000,11/8/2023 14:38,4.858356,231.1564,1123.04,562.204,-972.1864,-0.5006089,84.65273,2.057292
110000,11/8/2023 14:38,4.788796,230.942,1105.934,560.4517,-953.407,0.507942,84.52448,0.9675625
110000,11/8/2023 14:38,4.710832,230.962,1088.023,562.0494,-931.6091,-0.5165784,84.12192,2.649946
110000,11/8/2023 14:38,4.677844,230.8488,1079.875,561.0428,-922.692,-0.5195443,84.08424,2.847698
110000,11/8/2023 14:38,4.684955,231.1409,1082.885,563.3526,-924.8097,-0.5202333,83.98239,2.585292
110000,11/8/2023 14:38,4.712446,230.9303,1088.247,564.3008,-930.5082,-0.5185413,84.05468,2.610002
110000,11/8/2023 14:38,4.645211,230.8432,1072.316,557.3774,-916.0737,-0.5197886,83.63596,2.443049
110000,11/8/2023 14:38,4.745299,230.9116,1095.745,571.6007,-934.8415,-0.5216551,85.03506,2.17714
110000,11/8/2023 14:38,4.563757,230.984,1054.155,527.715,-912.5566,-0.5006047,84.98966,1.550316
110000,11/8/2023 14:38,4.634247,231.2337,1071.594,539.3446,-925.9708,-0.5033104,83.8926,2.279039
110000,11/8/2023 14:38,4.736778,231.2158,1095.218,569.1726,-935.7056,0.5173753,84.35658,2.348545
110000,11/8/2023 14:38,4.741988,231.2376,1096.526,553.7211,-946.4471,-0.5049776,84.82514,2.389687
110000,11/8/2023 14:38,4.869046,230.8529,1124.033,583.8062,-960.5317,-0.5193851,83.93877,2.371509
